conformer_id,energy
549,-82.42876226
550,-82.428768
551,-82.43061347
552,-82.42871681
553,-82.4283138
554,-82.42872864
555,-82.43059041
556,-82.42704507
557,-82.42827227
558,-82.4254454
559,-82.4269405
560,-82.42788288
561,-82.42827391
562,-82.43081252
563,-82.43037321
564,-82.42874627
565,-82.42780325
566,-82.42681251
567,-82.42689885
568,-82.42694107
569,-82.4287073
570,-82.42855062
571,-82.42673166
572,-82.42866588
573,-82.43203542
574,-82.43205969
575,-82.43198392
576,-82.43198495
577,-82.42667302
578,-82.43199044
579,-82.4305096
580,-82.42783327
581,-82.43198051
582,-82.42879276
583,-82.42984747
584,-82.42859162
585,-82.43201073
586,-82.42745207
587,-82.43006347
588,-82.42995953
589,-82.43006389
590,-82.42888958
591,-82.42858012
592,-82.43007157
593,-82.42716929
594,-82.42986542
595,-82.42984776
596,-82.42664895
597,-82.42997269
598,-82.43046498
599,-82.43045925
600,-82.42555939
601,-82.43048047
602,-82.42986479
603,-82.42985726
604,-82.43052862
605,-82.43053065
606,-82.43053297
607,-82.43052962
608,-82.43053113
609,-82.4305245
610,-82.42986448
611,-82.43029241
612,-82.43053777
613,-82.4305193
614,-82.42684699
615,-82.43003973
616,-82.42713369
617,-82.43280335
618,-82.42986236
619,-82.42775886
620,-82.43113869
621,-82.43113678
622,-82.43112765
623,-82.43053529
624,-82.42869099
625,-82.42662338
626,-82.42980744
627,-82.4304998
628,-82.42924903
629,-82.42924198
630,-82.43114858
631,-82.42982958
632,-82.4292338
633,-82.42840172
634,-82.42998378
635,-82.42854524
636,-82.4285144
637,-82.42854506
638,-82.42853192
639,-82.42850531
640,-82.42807749
641,-82.42806538
642,-82.42810816
643,-82.42840162
644,-82.42810054
645,-82.4281192
646,-82.42845287
647,-82.43064713
648,-82.43064001
649,-82.43063928
650,-82.43064147
651,-82.43063643
652,-82.43063911
653,-82.43064158
654,-82.4292873
655,-82.4281094
656,-82.42855925
657,-82.43005258
658,-82.43063126
659,-82.4306391
660,-82.43057628
661,-82.43064478
662,-82.43106661
663,-82.42804748
664,-82.42805033
665,-82.43056661
666,-82.43045366
667,-82.43058076
668,-82.42790869
669,-82.43056311
670,-82.42852289
671,-82.43001675
672,-82.42807955
673,-82.43054638
674,-82.42541444
675,-82.43116547
676,-82.42806968
677,-82.43009828
678,-82.43002159
679,-82.4267386
680,-82.42803535
681,-82.42845854
682,-82.42837235
683,-82.42845504
684,-82.42905607
685,-82.43000978
686,-82.42858512
687,-82.42982618
688,-82.4306341
689,-82.43214038
690,-82.42839833
691,-82.42969677
692,-82.42754625
693,-82.42860598
694,-82.4305081
695,-82.42803688
696,-82.428056
697,-82.42807994
698,-82.42863014
699,-82.42670601
700,-82.42877868
701,-82.42876685
702,-82.42817798
703,-82.42988773
704,-82.42808502
705,-82.42988762
706,-82.42876025
707,-82.42876301
708,-82.42874601
709,-82.42879636
710,-82.43012823
711,-82.4298033
712,-82.42643153
713,-82.42683814
714,-82.43043013
715,-82.42993078
716,-82.42974085
717,-82.42893508
718,-82.42989298
719,-82.42859669
720,-82.43047556
721,-82.42876728
722,-82.4283145
723,-82.42832478
724,-82.42833476
725,-82.4286025
726,-82.43196557
727,-82.42831319
728,-82.42830307
729,-82.42878671
730,-82.43052307
731,-82.43052576
732,-82.43052959
733,-82.42826902
734,-82.42877038
735,-82.42857901
736,-82.42970844
737,-82.42879919
738,-82.428719
739,-82.42878015
740,-82.42831881
741,-82.42831082
742,-82.42982424
743,-82.4279764
744,-82.43121973
745,-82.43125707
746,-82.43129311
747,-82.43054706
748,-82.43054207
749,-82.43120654
750,-82.42905284
751,-82.43119123
752,-82.43054645
753,-82.43122018
754,-82.43050483
755,-82.42680136
756,-82.42782259
757,-82.42832791
758,-82.43048431
759,-82.42990539
760,-82.43054966
761,-82.42549578
762,-82.43057965
763,-82.42880218
764,-82.42895087
765,-82.43061265
766,-82.43061914
767,-82.43047266
768,-82.43062618
769,-82.43190472
770,-82.43065077
771,-82.42877321
772,-82.4252483
773,-82.42877367
774,-82.4304833
775,-82.43049463
776,-82.43047963
777,-82.43203065
778,-82.4304795
779,-82.43052197
780,-82.42785818
781,-82.42877983
782,-82.42958935
783,-82.42956674
784,-82.42981233
785,-82.43001309
786,-82.42991905
787,-82.43052375
788,-82.42988097
789,-82.42909739
790,-82.42901162
791,-82.43127048
792,-82.43046038
793,-82.42864583
794,-82.42900416
795,-82.43097921
796,-82.43050215
797,-82.43051308
798,-82.43049716
799,-82.43049893
800,-82.42709338
801,-82.42688833
802,-82.43103246
803,-82.42716471
804,-82.42685575
805,-82.43047092
806,-82.4304975
807,-82.43117311
808,-82.42675732
809,-82.42915521
810,-82.42799099
811,-82.43043384
812,-82.42735844
813,-82.43055714
814,-82.43043455
815,-82.43043488
816,-82.42657973
817,-82.43042227
818,-82.43038059
819,-82.42989314
820,-82.42982473
821,-82.42982964
822,-82.42993762
823,-82.42984298
824,-82.42992611
825,-82.42982459
826,-82.42707512
827,-82.42984695
828,-82.43040583
829,-82.42986536
830,-82.42982898
831,-82.42991919
832,-82.42986254
833,-82.42905408
834,-82.42812858
835,-82.42660544
836,-82.42993767
837,-82.42678606
838,-82.42982869
839,-82.42658491
840,-82.4298272
841,-82.42984324
842,-82.42659938
843,-82.42981698
844,-82.42660839
845,-82.42814873
846,-82.42675291
847,-82.42675184
848,-82.42675647
849,-82.42674687
850,-82.42675006
851,-82.42674949
852,-82.42675564
853,-82.42675181
854,-82.42674715
855,-82.43124015
856,-82.42983383
857,-82.42678093
858,-82.42677919
859,-82.42675211
860,-82.42983117
861,-82.42660416
862,-82.42986357
863,-82.42983877
864,-82.42660693
865,-82.42663337
866,-82.42987923
867,-82.42985218
868,-82.42676644
869,-82.42984905
870,-82.42985391
871,-82.4298372
872,-82.42844455
873,-82.42662431
874,-82.42711571
875,-82.42665465
876,-82.42986245
877,-82.42915867
878,-82.42818418
879,-82.42664099
880,-82.43050206
881,-82.42980606
882,-82.43042896
883,-82.43041289
884,-82.42990909
885,-82.42990801
886,-82.42991217
887,-82.4299243
888,-82.4297613
889,-82.4298141
890,-82.42984278
891,-82.42814361
892,-82.43046756
893,-82.42708002
894,-82.42980998
895,-82.42707587
896,-82.42807927
897,-82.4280747
898,-82.42980569
899,-82.42909794
900,-82.42914366
901,-82.42549608
902,-82.4271528
903,-82.42710347
904,-82.43060853
905,-82.43211252
906,-82.42989571
907,-82.42980467
908,-82.42789331
909,-82.4298922
910,-82.428087
911,-82.42735673
912,-82.43123731
913,-82.42857834
914,-82.4275643
915,-82.42738815
916,-82.4298455
917,-82.42878249
918,-82.43114947
919,-82.42989641
920,-82.42718523
921,-82.42843375
922,-82.43050335
923,-82.42878857
924,-82.43114396
925,-82.4280531
926,-82.42746227
927,-82.43317732
928,-82.43318612
929,-82.43318449
